event_id,path,source_uid,intent,entry_heading_deg,net_yaw_deg_db,net_yaw_deg_recomputed,absolute_yaw_deg,budget_deg,heading_quality,valid,longest_same_sign_turn_seconds,mechanical_spin_ratio,budget_violation,nonturn_mechanical_fail,metric_mismatch,motion_ok,reason
35,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000035.npy,female_36pose_2,none,0.019139926880598068,-0.900975227355957,-0.9009752693365537,5.051600226178614,30.0,1.0,True,0.0,0.0,False,False,False,True,
36,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000036.npy,female_36pose_2,none,0.13610652089118958,-2.3709418773651123,-2.3709420088019586,6.228810650386992,30.0,1.0,True,0.0,0.0,False,False,False,True,
37,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000037.npy,female_36pose_2,none,0.07165466248989105,0.3710271120071411,0.37102713485505256,5.8084052498967145,30.0,1.0,True,0.0,0.0,False,False,False,True,
38,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000038.npy,female_36pose_2,none,0.11716020107269287,-0.5664215683937073,-0.5664216114536337,8.845166692152798,30.0,1.0,True,0.0,0.0,False,False,False,True,
39,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000039.npy,female_36pose_2,none,-0.041739992797374725,-1.00287663936615,-1.0028766758329721,5.779841825674544,30.0,1.0,True,0.0,0.0,False,False,False,True,
40,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000040.npy,female_36pose_2,none,0.09727026522159576,-3.7981326580047607,-3.7981328743211598,7.750044896484218,30.0,1.0,True,0.0,0.0,False,False,False,True,
41,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000041.npy,female_36pose_2,none,0.02541322447359562,0.9938395619392395,0.9938395885091049,8.728175796954234,30.0,1.0,True,0.0,0.0,False,False,False,True,
42,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000042.npy,female_36pose_2,none,0.08720529079437256,-0.6419030427932739,-0.6419030991885024,6.225265782207756,30.0,1.0,True,0.0,0.0,False,False,False,True,
43,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000043.npy,female_36pose_2,none,0.02841886132955551,11.528310775756836,11.528311738717573,15.173529911013665,30.0,1.0,True,0.8666666666666667,0.37142857142857144,False,False,False,True,
44,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000044.npy,female_36pose_2,none,0.13908426463603973,-6.468052387237549,-6.468052967105498,7.557521500575422,30.0,1.0,True,0.0,0.0,False,False,False,True,
45,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000045.npy,female_36pose_2,none,0.01829305849969387,-0.6874871850013733,-0.6874872481006385,4.735744958200545,30.0,1.0,True,0.0,0.0,False,False,False,True,
46,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000046.npy,female_36pose_2,none,-0.0798841193318367,14.59256362915039,14.592564265496135,16.67615103784896,30.0,1.0,True,1.0333333333333334,0.3924050632911392,False,False,False,True,
47,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000047.npy,female_36pose_2,none,0.034728553146123886,-15.927412986755371,-15.927413748201115,24.9991685509745,30.0,1.0,True,1.3,0.34513274336283184,False,False,False,True,
48,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000048.npy,female_36pose_2,none,0.07409871369600296,-8.378091812133789,-8.378091889724292,11.240662590690718,30.0,1.0,True,0.6666666666666666,0.35714285714285715,False,False,False,True,
49,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000049.npy,female_36pose_2,none,0.4944234788417816,-1.3119910955429077,-1.311991187430474,12.997007315945416,30.0,1.0,True,0.36666666666666664,0.16666666666666666,False,False,False,True,
50,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000050.npy,female_36pose_2,none,-0.1539279967546463,1.1223373413085938,1.1223374314684358,4.588057485324652,30.0,1.0,True,0.0,0.0,False,False,False,True,
51,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000051.npy,female_36pose_2,none,-0.11339285969734192,-0.4506366550922394,-0.45063667153040066,3.791359887985446,30.0,1.0,True,0.0,0.0,False,False,False,True,
52,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000052.npy,female_36pose_2,none,0.039200976490974426,-1.1169955730438232,-1.1169955832072511,3.4735262130256,30.0,1.0,True,0.0,0.0,False,False,False,True,
53,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000053.npy,female_36pose_2,none,0.08113079518079758,-2.090911626815796,-2.0909117233508403,4.373907149182656,30.0,1.0,True,0.0,0.0,False,False,False,True,
