slot,prev_event_id,curr_event_id,candidate_rank,transition_start,transition_end,transition_len,content_start,predicted_risk_score,predicted_boundary_jerk,predicted_exit_fk_jump,actual_risk_score,actual_boundary_jerk,actual_exit_fk_jump,actual_exit_rotation_step_rad,actual_foot_slip,actual_foot_penetration,actual_contact_switch,core_warp,safe,decision
11,695,558,63,794,810,16,810,2.7127655486887323,110.60701751708984,0.0006264017977014463,6.129057061694298,338.4660339355469,0.0021629983743683516,0.013811317272484303,0.21767779995240755,0.0,0.0,0.6956521739130435,True,reselected_heading_physics_safe
12,558,641,38,842,867,25,867,1.633472369180206,307.9847412109375,0.00030926947034987427,3.167206210874027,507.79931640625,0.0004752572892309833,0.003392621874809265,0.2729027773903503,0.0,0.010416666977107525,0.6891891891891891,True,reselected_heading_physics_safe
13,641,689,69,918,936,18,936,1.5472512140494674,54.42146301269531,0.0004217001280986832,4.536498426342192,364.8632507324219,0.0018381179358877757,0.008611273020505905,0.2999565700148045,0.0,0.014705882407724857,0.6909090909090909,False,reselected_heading_physics_safe
14,689,673,4,974,1000,26,1000,1.2639559969894534,74.5514907836914,0.00019816673925960915,2.448386226934865,193.48072814941406,0.0002217020811041382,0.0012743716361001134,0.09409686159649919,0.0,0.0,0.7192982456140351,True,reselected_heading_physics_safe
15,673,673,4,1041,1058,17,1058,0.471181030086337,75.87498474121094,0.00020318406064880217,1.8418207667817772,307.4942932128906,0.00030932267919377203,0.0016295639798045158,0.06723394489662023,0.0,0.0,0.6842105263157895,True,reselected_heading_physics_safe
16,673,673,4,1097,1117,20,1117,0.4721321517715435,103.3071060180664,0.0001997769197603246,1.7067473956848227,325.8348083496094,0.00024763830501245947,0.00020811756257899106,0.050554999113857864,0.0,0.0,0.8245614035087719,True,reselected_heading_physics_safe
17,673,673,2,1164,1184,20,1184,0.459765760992943,92.16468048095703,0.00019246961110259812,1.476632702770586,290.8351745605469,0.00024067981493852133,0.00020810299611184746,0.049316177602018084,0.0,0.0,0.8070175438596491,True,reselected_heading_physics_safe
18,673,904,9,1230,1254,24,1254,0.9886878177701727,103.7052230834961,0.0007490453056027042,2.12542099002465,298.3747253417969,0.0007813192114876465,0.000591237680055201,0.15167123560076537,0.0,0.0,0.75,True,reselected_heading_physics_safe
19,904,673,3,1302,1324,22,1324,1.8257408049870405,175.50184631347656,0.00024176847944781362,3.407697561616025,215.9497528076172,0.0012336155440045246,0.013043995946645737,0.21341611330873006,0.0,0.0,0.6842105263157895,True,reselected_heading_physics_safe
20,673,673,78,1363,1382,19,1382,0.44595109440771424,82.09053802490234,0.00019068465447722108,1.7793242805561036,357.8935241699219,0.00024671402847884405,0.00024005259911064059,0.05122719361702522,0.0,0.0,0.7543859649122807,True,reselected_heading_physics_safe
21,673,673,83,1425,1444,19,1444,0.4092014436986868,53.33078384399414,0.0001877217453192257,1.660086995944859,342.8277587890625,0.00024255492679276538,0.00023995645460672677,0.05034265022281321,0.0,0.0,0.7368421052631579,True,reselected_heading_physics_safe
22,673,904,79,1486,1510,24,1510,1.018306065710202,106.25586700439453,0.0007472046202185132,2.2816268961145076,349.8436584472656,0.0007811100471859681,0.000591237680055201,0.18011375592033727,0.0,0.0,0.75,True,reselected_heading_physics_safe
23,904,648,8,1558,1587,29,1587,1.4825445849847783,176.86155700683594,0.0001717037621995256,2.419825486898355,272.482421875,0.0001770205121592645,0.0005614525289274752,0.09893004109932586,0.0,0.0,0.7794117647058824,True,reselected_heading_physics_safe
24,648,648,8,1640,1659,19,1659,0.9315212958950644,146.67774963378906,8.381709575165e-05,3.201227011301168,421.2593688964844,0.001144734846212922,0.008853789418935776,0.08112173455943443,0.0,0.0,0.7647058823529411,True,reselected_heading_physics_safe
25,648,518,33,1711,1730,19,1730,2.192645321922161,145.7528839111328,0.0005580750404186205,5.540268877451098,428.100830078125,0.002516741907653073,0.013609630987048149,0.20285006165546499,0.0,0.0,0.6808510638297872,True,reselected_heading_physics_safe
26,518,648,3,1762,1786,24,1786,1.4200054262987423,127.11895751953125,0.00030051490823767657,3.0762296645801483,334.42840576171875,0.0008573988218083294,0.011141194961965084,0.1907389777124974,0.0,0.0,0.6911764705882353,True,reselected_heading_physics_safe
27,648,648,48,1833,1854,21,1854,0.8534633025109968,131.82044982910156,7.596405499006936e-05,2.63313525723369,469.8529357910156,0.0002286503990591688,0.004263668786734343,0.08009650477998988,0.0,0.0,0.8970588235294118,True,reselected_heading_physics_safe
28,648,648,78,1915,1934,19,1934,0.9957588395722842,183.6713409423828,8.717898623207533e-05,3.0244258042876604,385.8861389160156,0.0011314018764899466,0.008853789418935776,0.08717832006328256,0.0,0.0,0.7794117647058824,True,reselected_heading_physics_safe
29,648,1063,80,1987,2015,28,2015,2.1581261598428965,145.97666931152344,0.0006040421387453363,3.884491584099888,446.5142517089844,0.0006476812613311316,0.0006643076194450259,0.1038239863273116,0.0,0.0,0.8421052631578947,True,reselected_heading_physics_safe
30,1063,1063,19,2063,2081,18,2081,1.4755182259597606,229.3117218017578,0.000850693733216242,3.3456517770908527,523.8402709960938,0.0008925152606453084,0.0018853689543902874,0.08260563714514726,0.0,0.0,0.6842105263157895,True,reselected_heading_physics_safe
31,1063,1063,0,2120,2132,12,2132,2.4836327681516375,251.96070861816406,0.001018855547472257,7.5799466682272545,541.7166137695312,0.0032064060313063145,0.009055174887180328,0.17226879782829685,0.0,0.0,0.6842105263157895,True,accepted_heading_physics_safe
32,1063,1063,66,2171,2198,27,2198,1.2491113203915036,246.4022216796875,0.0007462622955225333,2.844942474510194,469.7623596191406,0.0007624512025435653,0.00028602060046978295,0.05401282522393337,0.0,0.0,0.7719298245614035,True,reselected_heading_physics_safe
